	0	19	0	1072025	31072025	SUPERMERCADO FRUTILÂNDIA LTDA	4,79296E+12		MS	283206993	5007901			A	1																							
	C170	5	PROD16135	CAFE BRASILEIRO 250G TRADICIONAL	20	UN	260	0	0	60	1403	NAT01403	0	0	0	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	6	PROD16134	CAFE BRASILEIRO 500G TRADICIONAL	20	UN	520	0	0	60	1403	NAT01403	0	0	0	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C190	20	1102	17	1040	428,27	72,81	0	0	611,73	0																											
	C190	60	1403	0	1312,72	0	0	0	0	0	0																											
	C190	560	1403	0	371,22	0	0	0	0	0	0																											
	C195	148660																																				
	C100	0	1	FORN213	55	0	0	308577	5,02507E+43	11072025	15072025	192,13	2	0	0	176,19	9	0	0	0	0	0	0	0	0	0	0	0	0									
	C170	1	PROD27251	ACHOCOLATADO TRES CORACOES 700G SACHE	6	UN	91,38	0	0	560	1910	NAT01910	0	0	0	0	0	0				0	0	0	98	0	0			0	98	0	0			0		0
	C170	2	PROD21928	ACHOCOLATADO TRES CORACOES 300G SACHE	12	UN	84,81	0	0	560	1910	NAT01910	0	0	0	0	0	0				0	0	0	98	0	0			0	98	0	0			0		0
	C190	560	1910	0	192,13	0	0	0	0	0	0																											
	C195	148661																																				
	C100	0	1	FORN236	55	0	0	1334645	5,02507E+43	5072025	10072025	641,69	1	0	0	606,73	9	0	0	10,8	0	0	0	0	0	0	0	0	0									
	C170	1	PROD9827	PATE PEDIGREE 100G CARNE MOLHO	18	UN	47,88	0	0	60	1403	NAT01403	0	0	0	0	0	0				0	0	0	72	0	0			0	72	0	0			0		0
	C170	2	PROD29534	PATE PEDIGREE 100G CARNE MOLHO AD.+7 ANOS	18	UN	47,88	0	0	60	1403	NAT01403	0	0	0	0	0	0				0	0	0	72	0	0			0	72	0	0			0		0
	C170	3	PROD28023	PATE PEDIGREE 100G FRANGO MOLHO ADULTO	18	UN	46,93	0	0	60	1403	NAT01403	0	0	0	0	0	0				0	0	0	72	0	0			0	72	0	0			0		0
	C170	4	PROD44808	RACAO PEDIGREE 900G NUTR.ESSENCIAL CARNE	6	UN	71,1	0	0	60	1403	NAT01403	0	0	0	0	0	0				0	0	0	72	0	0			0	72	0	0			0		0
	C170	5	PROD43111	RACAO PEDIGREE 900G NUTR.ESSENCIAL CARNE/LEITE	6	UN	69,42	0	0	60	1403	NAT01403	0	0	0	0	0	0				0	0	0	72	0	0			0	72	0	0			0		0
	C170	6	PROD9826	PATE PEDIGREE 100G FRANGO MOLHO FIHOTE	18	UN	47,88	0	0	60	1403	NAT01403	0	0	0	0	0	0				0	0	0	72	0	0			0	72	0	0			0		0
